source_node,target_node,source_longitude,source_latitude,source_magnitude,target_longitude,target_latitude,target_magnitude,distance_km,time_gap_days
14,61,-168.11,52.131,3.3,-168.475,52.392,4.8,38.201332,6.6738255e-07
11,53,-168.294,52.251,4.7,-168.293,52.26,5.2,1.0030665,6.670575e-07
6,49,-167.97,52.277,3.5,-168.268,52.256,2.5,20.412924,6.666508e-07
7,49,-168.139,52.392,4.5,-168.268,52.256,2.5,17.480038,6.6652905e-07
12,55,-168.327,52.299,4.8,-168.203,52.302,3.5,8.438339,6.6608817e-07
1,45,-168.0493,52.2483,3.1,-168.381,52.385,4.5,27.191936,6.6596004e-07
8,51,-167.9895,52.28,3.0,-168.336,52.24,5.4,23.998573,6.653443e-07
12,54,-168.327,52.299,4.8,-168.108,52.275,2.9,15.1332445,6.649412e-07
5,48,-168.0153,52.2873,2.8,-168.298,52.192,2.6,21.973461,6.64772e-07
15,61,-168.066,52.1314,2.8,-168.475,52.392,4.8,40.180786,6.647625e-07
2,45,-168.196,52.208,3.4,-168.381,52.385,4.5,23.358854,6.6471125e-07
8,50,-167.9895,52.28,3.0,-168.1298,52.2732,2.5,9.575158,6.640827e-07
9,51,-168.019,52.351,3.5,-168.336,52.24,5.4,24.841034,6.64056e-07
0,44,-168.07,52.362,4.7,-168.424,52.288,5.2,25.426172,6.6398775e-07
5,47,-168.0153,52.2873,2.8,-168.154,52.086,2.8,24.298756,6.639276e-07
10,52,-168.2331,52.1187,2.9,-167.989,52.255,2.6,22.508167,6.6388696e-07
6,48,-167.97,52.277,3.5,-168.298,52.192,2.6,24.253912,6.6372917e-07
7,48,-168.139,52.392,4.5,-168.298,52.192,2.6,24.728704,6.636074e-07
16,62,-168.0864,52.2636,2.7,-168.185,52.166,2.9,12.763427,6.6337174e-07
0,43,-168.07,52.362,4.7,-168.383,52.267,5.6,23.754606,6.630358e-07
6,47,-167.97,52.277,3.5,-168.154,52.086,2.8,24.666656,6.628847e-07
9,50,-168.019,52.351,3.5,-168.1298,52.2732,2.5,11.470533,6.627944e-07
7,47,-168.139,52.392,4.5,-168.154,52.086,2.8,34.040974,6.6276294e-07
13,56,-168.0588,52.1124,2.9,-168.274,52.065,3.5,15.619185,6.6274913e-07
8,49,-167.9895,52.28,3.0,-168.268,52.256,2.5,19.138285,6.627206e-07
1,44,-168.0493,52.2483,3.1,-168.424,52.288,5.2,25.876726,6.625419e-07
11,52,-168.294,52.251,4.7,-167.989,52.255,2.6,20.766357,6.621463e-07
5,46,-168.0153,52.2873,2.8,-168.338,52.318,4.3,22.205809,6.6201926e-07
1,43,-168.0493,52.2483,3.1,-168.383,52.267,5.6,22.807823,6.615899e-07
9,49,-168.019,52.351,3.5,-168.268,52.256,2.5,19.955542,6.614323e-07
2,44,-168.196,52.208,3.4,-168.424,52.288,5.2,17.89024,6.6129303e-07
17,62,-168.0734,52.3923,2.5,-168.185,52.166,2.9,26.283812,6.6127905e-07
6,46,-167.97,52.277,3.5,-168.338,52.318,4.3,25.43679,6.609764e-07
