trial_index,model,epoch,train_loss,val_threshold,val_precision,val_recall,val_f1,val_accuracy,val_balanced_accuracy,val_auc_roc,val_tpr_at_20_fpr,val_actual_fpr_at_selected_roc_point,val_roc_threshold_at_20_fpr
13,GAT,3,0.15937752448022366,0.05,0.14097496706192358,0.6096866096866097,0.22899946495452114,0.2795,0.40945215869412355,0.2701093125592823,0.06552706552706553,0.20618556701030927,0.9848183393478394
14,GAT,1,0.25826754805445673,0.3,0.24242424242424243,0.7977207977207977,0.37184594953519257,0.527,0.6335480883691921,0.6610740516137726,0.3789173789173789,0.20133414190418436,0.7251318097114563
14,GAT,2,0.19707287910580634,0.55,0.25937183383991896,0.7293447293447294,0.38266068759342303,0.587,0.6430228801362823,0.6853000782655119,0.3903133903133903,0.20194057004244997,0.9114658832550049
14,GAT,3,0.16451889127492905,0.8,0.3949579831932773,0.6695156695156695,0.49682875264270615,0.762,0.725600769870024,0.7550928733463603,0.6324786324786325,0.19951485748938752,0.8330075740814209
14,GAT,4,0.1388586751818657,0.8,0.32298136645962733,0.7407407407407407,0.44982698961937717,0.682,0.7051187026929902,0.7120261092365399,0.47293447293447294,0.20012128562765313,0.9390707015991211
14,GAT,5,0.12414991210401058,0.9,0.2940603700097371,0.8603988603988604,0.43831640058055155,0.613,0.7103692300781446,0.7694087239266135,0.5470085470085471,0.20072771376591875,0.9792293310165405
15,GAT,1,0.264534061729908,0.05,0.17508754377188596,0.9971509971509972,0.2978723404255319,0.175,0.4985754985754986,0.49522545823334185,0.27635327635327633,0.19951485748938752,0.7733460068702698
15,GAT,2,0.19941546094417573,0.1,0.19228450874020495,0.9088319088319088,0.3174129353233831,0.314,0.548109101777992,0.5724318804973747,0.25925925925925924,0.2031534263189812,0.5666971802711487
15,GAT,3,0.16741003859043121,0.05,0.2813121272365805,0.8062678062678063,0.4170965364775239,0.6045,0.6839101311508831,0.6762934973971967,0.19943019943019943,0.19951485748938752,0.30529558658599854
15,GAT,4,0.14928114700317383,0.05,0.26593406593406593,0.6894586894586895,0.3838223632038065,0.6115,0.6421823465486292,0.6234098538525464,0.20512820512820512,0.19951485748938752,0.15225352346897125
